fx|fy|penalty|alpha|iter|ee|ev|verdaderos_negativos|falsos_negativos|falsos_positivos|verdaderos_positivos
mean radius|mean perimeter|l2|0.001|1000|0.4275|0.44970414201183434|146|0|229|25
mean radius|mean perimeter|l2|0.1|10|0.365|0.3905325443786982|146|0|254|0
mean radius|mean perimeter|l2|0.1|100|0.365|0.3905325443786982|146|0|254|0
mean radius|mean perimeter|l2|0.1|1000|0.365|0.3905325443786982|146|0|254|0
mean radius|mean perimeter|l2|10.0|10|0.365|0.3905325443786982|146|0|254|0
mean radius|mean perimeter|l2|10.0|100|0.365|0.3905325443786982|146|0|254|0
mean radius|mean perimeter|l2|10.0|1000|0.365|0.3905325443786982|146|0|254|0
mean radius|mean perimeter|elasticnet|1e-05|10|0.365|0.3905325443786982|146|0|254|0
mean radius|mean perimeter|elasticnet|1e-05|100|0.365|0.3905325443786982|146|0|254|0
mean radius|mean perimeter|elasticnet|1e-05|1000|0.4525|0.47337278106508873|146|0|219|35
mean radius|mean perimeter|elasticnet|0.001|10|0.365|0.3905325443786982|146|0|254|0
mean radius|mean perimeter|elasticnet|0.001|100|0.365|0.3905325443786982|146|0|254|0
mean radius|mean perimeter|elasticnet|0.001|1000|0.4275|0.44970414201183434|146|0|229|25
mean radius|mean perimeter|elasticnet|0.1|10|0.365|0.3905325443786982|146|0|254|0
mean radius|mean perimeter|elasticnet|0.1|100|0.365|0.3905325443786982|146|0|254|0
mean radius|mean perimeter|elasticnet|0.1|1000|0.365|0.3905325443786982|146|0|254|0
mean radius|mean perimeter|elasticnet|10.0|10|0.365|0.3905325443786982|146|0|254|0
mean radius|mean perimeter|elasticnet|10.0|100|0.365|0.3905325443786982|146|0|254|0
mean radius|mean perimeter|elasticnet|10.0|1000|0.365|0.3905325443786982|146|0|254|0
mean radius|worst concave points|None|1e-05|10|0.3675|0.3905325443786982|146|0|253|1
mean radius|worst concave points|None|1e-05|100|0.7775|0.7810650887573964|138|8|81|173
mean radius|worst concave points|None|1e-05|1000|0.8825|0.9053254437869822|112|34|13|241
mean radius|worst concave points|None|0.001|10|0.3675|0.3905325443786982|146|0|253|1
mean radius|worst concave points|None|0.001|100|0.7775|0.7810650887573964|138|8|81|173
mean radius|worst concave points|None|0.001|1000|0.8825|0.9053254437869822|112|34|13|241
mean radius|worst concave points|None|0.1|10|0.3675|0.3905325443786982|146|0|253|1
mean radius|worst concave points|None|0.1|100|0.7775|0.7810650887573964|138|8|81|173
mean radius|worst concave points|None|0.1|1000|0.8825|0.9053254437869822|112|34|13|241
mean radius|worst concave points|None|10.0|10|0.3675|0.3905325443786982|146|0|253|1
mean radius|worst concave points|None|10.0|100|0.7775|0.7810650887573964|138|8|81|173
mean radius|worst concave points|None|10.0|1000|0.8825|0.9053254437869822|112|34|13|241
mean radius|worst concave points|l1|1e-05|10|0.3675|0.3905325443786982|146|0|253|1
mean radius|worst concave points|l1|1e-05|100|0.775|0.7810650887573964|138|8|82|172
mean radius|worst concave points|l1|1e-05|1000|0.8325|0.863905325443787|130|16|51|203
mean radius|worst concave points|l1|0.001|10|0.3675|0.3905325443786982|146|0|253|1
mean radius|worst concave points|l1|0.001|100|0.785|0.7869822485207101|138|8|78|176
mean radius|worst concave points|l1|0.001|1000|0.8325|0.863905325443787|129|17|50|204
mean radius|worst concave points|l1|0.1|10|0.3675|0.3905325443786982|146|0|253|1
mean radius|worst concave points|l1|0.1|100|0.7075|0.7041420118343196|142|4|113|141
mean radius|worst concave points|l1|0.1|1000|0.6975|0.6745562130177515|143|3|118|136
mean radius|worst concave points|l1|10.0|10|0.365|0.3905325443786982|146|0|254|0
mean radius|worst concave points|l1|10.0|100|0.365|0.3905325443786982|146|0|254|0
mean radius|worst concave points|l1|10.0|1000|0.365|0.3905325443786982|146|0|254|0
mean radius|worst concave points|l2|1e-05|10|0.3675|0.3905325443786982|146|0|253|1
mean radius|worst concave points|l2|1e-05|100|0.775|0.7810650887573964|138|8|82|172
mean radius|worst concave points|l2|1e-05|1000|0.8325|0.8698224852071006|129|17|50|204
mean radius|worst concave points|l2|0.001|10|0.3675|0.3905325443786982|146|0|253|1
mean radius|worst concave points|l2|0.001|100|0.715|0.727810650887574|140|6|108|146
mean radius|worst concave points|l2|0.001|1000|0.715|0.727810650887574|140|6|108|146
mean radius|worst concave points|l2|0.1|10|0.365|0.3905325443786982|146|0|254|0
mean radius|worst concave points|l2|0.1|100|0.365|0.3905325443786982|146|0|254|0
mean radius|worst concave points|l2|0.1|1000|0.365|0.3905325443786982|146|0|254|0
mean radius|worst concave points|l2|10.0|10|0.365|0.3905325443786982|146|0|254|0
mean radius|worst concave points|l2|10.0|100|0.365|0.3905325443786982|146|0|254|0
mean radius|worst concave points|l2|10.0|1000|0.365|0.3905325443786982|146|0|254|0
mean radius|worst concave points|elasticnet|1e-05|10|0.3675|0.3905325443786982|146|0|253|1
mean radius|worst concave points|elasticnet|1e-05|100|0.775|0.7810650887573964|138|8|82|172
mean radius|worst concave points|elasticnet|1e-05|1000|0.8325|0.8698224852071006|129|17|50|204
mean radius|worst concave points|elasticnet|0.001|10|0.3675|0.3905325443786982|146|0|253|1
mean radius|worst concave points|elasticnet|0.001|100|0.715|0.727810650887574|140|6|108|146
mean radius|worst concave points|elasticnet|0.001|1000|0.715|0.727810650887574|140|6|108|146
mean radius|worst concave points|elasticnet|0.1|10|0.365|0.3905325443786982|146|0|254|0
mean radius|worst concave points|elasticnet|0.1|100|0.365|0.3905325443786982|146|0|254|0
mean radius|worst concave points|elasticnet|0.1|1000|0.365|0.3905325443786982|146|0|254|0
mean radius|worst concave points|elasticnet|10.0|10|0.365|0.3905325443786982|146|0|254|0
mean radius|worst concave points|elasticnet|10.0|100|0.365|0.3905325443786982|146|0|254|0
mean radius|worst concave points|elasticnet|10.0|1000|0.365|0.3905325443786982|146|0|254|0
mean radius|mean concavity|None|1e-05|10|0.3675|0.3905325443786982|146|0|253|1
mean radius|mean concavity|None|1e-05|100|0.7875|0.7751479289940828|142|4|81|173
mean radius|mean concavity|None|1e-05|1000|0.8925|0.9526627218934911|128|18|25|229
mean radius|mean concavity|None|0.001|10|0.3675|0.3905325443786982|146|0|253|1
mean radius|mean concavity|None|0.001|100|0.7875|0.7751479289940828|142|4|81|173
mean radius|mean concavity|None|0.001|1000|0.8925|0.9526627218934911|128|18|25|229
mean radius|mean concavity|None|0.1|10|0.3675|0.3905325443786982|146|0|253|1
mean radius|mean concavity|None|0.1|100|0.7875|0.7751479289940828|142|4|81|173
mean radius|mean concavity|None|0.1|1000|0.8925|0.9526627218934911|128|18|25|229
mean radius|mean concavity|None|10.0|10|0.3675|0.3905325443786982|146|0|253|1
mean radius|mean concavity|None|10.0|100|0.7875|0.7751479289940828|142|4|81|173
mean radius|mean concavity|None|10.0|1000|0.8925|0.9526627218934911|128|18|25|229
mean radius|mean concavity|l1|1e-05|10|0.3675|0.3905325443786982|146|0|253|1
mean radius|mean concavity|l1|1e-05|100|0.7275|0.727810650887574|143|3|106|148
mean radius|mean concavity|l1|1e-05|1000|0.8925|0.9526627218934911|128|18|25|229
mean radius|mean concavity|l1|0.001|10|0.3675|0.3905325443786982|146|0|253|1
mean radius|mean concavity|l1|0.001|100|0.7975|0.7869822485207101|141|5|76|178
mean radius|mean concavity|l1|0.001|1000|0.8825|0.9171597633136095|137|9|38|216
mean radius|mean concavity|l1|0.1|10|0.3675|0.3905325443786982|146|0|253|1
mean radius|mean concavity|l1|0.1|100|0.7075|0.7041420118343196|142|4|113|141
mean radius|mean concavity|l1|0.1|1000|0.6975|0.6745562130177515|143|3|118|136
mean radius|mean concavity|l1|10.0|10|0.365|0.3905325443786982|146|0|254|0
mean radius|mean concavity|l1|10.0|100|0.365|0.3905325443786982|146|0|254|0
mean radius|mean concavity|l1|10.0|1000|0.365|0.3905325443786982|146|0|254|0
mean radius|mean concavity|l2|1e-05|10|0.3675|0.3905325443786982|146|0|253|1
mean radius|mean concavity|l2|1e-05|100|0.7925|0.7751479289940828|142|4|79|175
mean radius|mean concavity|l2|1e-05|1000|0.72|0.7041420118343196|144|2|110|144
mean radius|mean concavity|l2|0.001|10|0.3675|0.3905325443786982|146|0|253|1
mean radius|mean concavity|l2|0.001|100|0.715|0.727810650887574|140|6|108|146
mean radius|mean concavity|l2|0.001|1000|0.715|0.727810650887574|140|6|108|146
mean radius|mean concavity|l2|0.1|10|0.365|0.3905325443786982|146|0|254|0
mean radius|mean concavity|l2|0.1|100|0.365|0.3905325443786982|146|0|254|0
mean radius|mean concavity|l2|0.1|1000|0.365|0.3905325443786982|146|0|254|0
